Stages	CYR61	HSPA6	RGS1	BTG2	ATF3	ETV3	PTGS2	EGR4	EGR1	DUSP1	CDKN1A	TRIB1	NR4A3	DUSP5	EGR2	NPAS4	NR4A1	FOS	JUNB	FOSB	PPP1R15A	SIK1	GPR183	NEDD9	SPRY2
Stage_3	4.32956	5.8605	4.58373	6.90492	4.41126	7.40757	6.86976	6.2471	6.47215	9.15646	5.11817	8.96865	8.36601	5.44634	4.912	4.54752	5.38348	5.2415	6.93113	5.30267	8.39776	7.89907	4.77144	7.58155	8.5075
Stage_3	4.39947	5.74138	3.96465	6.44369	4.4757	7.49656	7.41737	6.31734	6.67356	8.45705	5.12994	8.81296	8.74477	5.4469	5.11115	4.74076	5.34437	5.56059	6.6854	5.68377	7.93365	8.07467	5.1021	7.62218	8.70458
Stage_3	4.60416	5.82335	4.34438	6.89289	3.95794	7.23691	6.35999	6.40616	5.89948	9.00762	5.24349	8.73839	7.34603	5.74313	5.11248	4.59101	4.93016	5.18593	6.36784	5.63038	8.18594	7.96103	4.85766	8.56847	8.15175
Stage_3	4.54481	4.87931	4.34508	7.04258	3.9519	7.51686	6.12354	5.42879	6.5202	9.33291	5.12792	9.03187	7.55345	6.31278	4.40854	4.25002	5.30354	5.06785	6.48731	5.37231	8.41735	7.97628	4.40743	8.61016	8.77433
Stage_3	5.05816	6.09676	4.13099	6.23816	4.18597	7.33879	4.62833	6.24487	6.80268	9.20689	4.67108	9.26404	8.25204	5.38331	4.88268	4.64843	5.27124	5.33823	6.64186	5.66548	7.71859	8.56844	4.95331	9.53222	8.93068
Stage_3	4.81276	5.24624	4.1914	6.95155	4.02008	7.82227	4.69966	5.76553	7.28446	9.18202	5.01702	9.21901	8.63582	6.1278	4.68926	4.38198	4.86771	5.80726	6.99251	5.37942	8.53919	8.87886	4.54863	9.05587	7.89086
Stage_3	4.91928	6.28152	4.22757	6.62134	4.77293	7.13191	4.1239	6.16626	6.64907	8.03876	4.85602	8.91162	8.4111	4.79866	5.10381	4.98225	5.2986	5.34096	7.1621	6.04743	7.4683	8.93404	5.36969	9.18562	8.54284
Stage_3	4.98146	6.15009	4.24798	6.62722	4.58803	7.23722	4.18516	5.85471	6.63562	8.67564	5.20561	8.59539	8.08241	4.64603	5.03505	4.52751	5.42619	5.39011	6.5983	5.4111	8.30914	8.75599	4.79914	9.01313	8.73873
Stage_3	5.11826	5.75187	4.0697	6.22738	4.25423	6.98916	3.9892	6.16238	7.43099	8.09216	4.96167	7.42523	6.79196	6.57294	5.02959	4.9037	5.26529	5.62207	6.9391	5.53169	7.62488	6.91531	4.41776	8.07678	7.92013
Stage_3	4.33359	5.72071	5.58059	6.74804	4.63575	7.56711	4.33448	6.59021	6.59801	8.31396	5.11413	7.78169	6.62267	6.35691	4.84576	5.48731	5.87696	5.82863	7.9761	5.85024	7.68327	6.95188	5.082	7.93952	7.91433
Stage_3	4.80201	6.18252	3.82587	6.70507	4.67066	7.73563	4.41607	6.91005	7.5095	8.48297	5.39064	9.16296	8.98206	6.8895	5.13215	4.69786	5.59414	5.86841	7.27848	5.63387	7.81356	8.77342	5.11067	8.38381	6.88367
Stage_3	4.83249	5.80753	4.29725	6.60092	3.82387	7.90987	4.24323	5.89215	7.08586	9.11753	4.94746	9.13825	9.32878	7.33819	4.64861	4.5008	5.44866	5.88024	7.42016	5.50037	8.23767	8.9565	4.25368	8.44156	6.79407
Stage_3	5.10321	6.22641	4.31674	6.8262	4.40206	6.95088	5.35678	5.63221	6.62958	9.37626	5.53642	8.83173	6.7665	5.56393	5.15749	5.0673	5.3495	6.00179	7.60118	5.72652	7.51737	7.46945	5.39977	9.11138	9.20865
